TSR,Cp,Ct
0.989019909463453,0.00341498043982609,0.0505828560470299
1.97803981892691,0.0256267157536888,0.0830548367941257
2.96705972839036,0.0848615814152334,0.156815981107894
3.95607963785381,0.167026938714482,0.26013871867097
4.94509954731727,0.252834170844978,0.376926476606575
5.93411945678072,0.337115354292159,0.496785110868388
6.92313936624418,0.439814189465892,0.665396760961384
7.91215927570763,0.490936315840753,0.831781872645513
8.90117918517108,0.459385229009395,0.898927744452039
9.89019909463453,0.249136755882959,0.567939628134641
